,Id,Max,mean,median,SD,Var
0,condition,68238.0,9291.072916666666,6033.0,10544.907858312905,111195081.74030924
0,condition,125759.0,12349.989583333334,7392.0,15352.106664614563,235687179.0417029
0,condition,84062.0,15910.142361111111,11943.5,15883.908459453669,252298547.94830385
0,condition,79625.0,16625.145833333332,11487.0,17956.185594013907,322424601.08667254
0,condition,62302.0,10183.833333333334,7629.0,10854.605572080247,117822462.12543555
0,condition,56630.0,12016.170138888889,9158.0,11640.328959015196,135497258.2740878
0,condition,94588.0,19158.645833333332,11583.0,22532.377402467544,507708031.40722996
0,condition,130377.0,11771.927083333334,4860.0,16399.910460309315,268957063.1061629
0,condition,52696.0,10781.597222222223,8887.5,10020.852927331674,100417493.39121178
0,condition,71072.0,18691.3125,18072.5,16442.95857491676,270370886.6964286
0,condition,47793.0,8815.381944444445,4577.5,10316.569290046373,106431601.91632791
0,condition,63559.0,10510.902777777777,7207.5,10324.244167402549,106590017.62814556
0,condition,54389.0,15111.402777777777,13963.0,12329.806207417298,152024121.11246613
0,condition,44674.0,4758.819444444444,2950.5,5813.5214155893555,33797031.24951606
0,condition,65955.0,6394.791666666667,3295.0,8168.104048516201,66717923.74738676
0,condition,90108.0,14561.930555555555,9879.0,15928.841953989018,253728005.99516067
0,condition,17000.0,5028.975694444444,4353.5,4314.739364074611,18616975.779894985
0,condition,16569.0,4358.763888888889,4119.5,3266.5412303478624,10670291.609562526
0,condition,52132.0,9842.78125,7339.0,10336.730771841872,106848003.04954268
0,condition,109032.0,21556.128472222223,21775.0,19038.389449664483,362460272.8370959
0,condition,37775.0,4495.090277777777,1314.5,5921.838513382571,35068171.37858111
0,condition,36760.0,9824.736111111111,8241.0,8946.603824905093,80041719.99980643
0,condition,68211.0,14953.840277777777,11408.0,15162.249076391645,229893797.05453926
